en,hmr
"Paul, and Silvanus, and Timothy, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ;","Paula le Silvan le Timothe chun: Pathien ei Pa le Lalpa Isu Kristaa, Thessalonikaa kohranhai kuomah:"
Grace to you and peace from God the Father and the Lord Jesus Christ.,Pa Pathien le Lalpa Isu Krista kuoma inthawka lunginsietna le inremna in kuomah um raw se.
"We are bound to give thanks to God always for you, brethren, even as it is meet, for that your faith groweth exceedingly, and the love of each one of you all toward one another aboundeth;","Unauhai, nangni chungthua hin Pathien kuomah lâwmthu hril rawp ding hi kan ni hrim a; chu chu a âwm hrim a nih, in ringna chu nasataka inṭhang lienin, in rênga in inhmangai tuo sengna chu a pung nâwk zuol sih a."
so that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and in the afflictions which ye endure;,"Chuongchun, suknawmnatna le rimsikna in tuornahai po poa in selna le in ringna hai lei khan, keini ngeiin Pathien kohranhai lai kan suong hlak cheu a nih."
"which is a manifest token of the righteous judgment of God; to the end that ye may be counted worthy of the kingdom of God, for which ye also suffer:","Chuong chu Pathien rama mi ni tlâka ruot in ni thei ding a nih ti Pathien rorêl feltak inchikna fietak a nih, chu ram leia chu tuor in ni hi."
"if so be that it is a righteous thing with God to recompense affliction to them that afflict you,","Chuongchun, hi hi Pathien ta dingin thil feltak a nih: a sukrin- umtuhai cheu chu rinumnaa thung le;"
"and to you that are afflicted rest with us, at the revelation of the Lord Jesus from heaven with the angels of his power in flaming fire,","nangni rinum tuortuhai chu, Lalpa Isu a vântirko hrâttakhai leh meichawk laia a hung inlang pha, keini le hin min châwltir le;"
"rendering vengeance to them that know not God, and to them that obey not the gospel of our Lord Jesus:",Pathien hre naw mi le ei Lalpa Isu Chanchin Ṭha awi lo mihai chunga phuba lâk chu.
"who shall suffer punishment, even eternal destruction from the face of the Lord and from the glory of his might,",Chuong mihai chun hrem tuor an tih: Lalpa kuoma inthawk le a hrâtna ropuinaa inthawka chatuona bo- hmangna chu;
"when he shall come to be glorified in his saints, and to be marvelled at in all them that believed (because our testimony unto you was believed) in that day.","chu ni, a mi inthienghaia chun chawimawia um ding le, ringtuhai po poa chun (kan thu inhriettir cheu kha in awi sih a) makti dinga a hung nia chun."
"To which end we also pray always for you, that our God may count you worthy of your calling, and fulfil every desire of goodness and every work of faith, with power;","Chuong anga chawimawi le makti a ni theina dingin, ei Pathienin a kona cheua chun ko tlâk nia a ruot theina ding cheu le, ṭhat nuomna tinrênga le ringna sinthaw tinrênga thilthawtheinaa ân hlawtlingtir theina ding cheuin kan ṭawngṭaipêk rawp cheu a ni hi."
